release_year,album,title,lyrics
1997,Time out of Mind,Love Sick,"i’m walking through streets that are dead

walking, walking with you in my head

my feet are so tired, my brain is so wired

and the clouds are weeping



did i hear someone tell a lie

did i hear someone’s distant cry

you thrilled me to my heart, then you ripped it all apart

you went through my pockets when i was sleeping



i’m sick of love…but i’m in the thick of it

this kind of love…i’m so sick of it



i see lovers in the meadow

i see silhouettes in the window

i watch them ’til they’re gone and they leave me hanging on

to a shadow



i’m sick of love…i hear the clock tick

this kind of love…i’m love sick



sometimes the silence can be like the thunder

sometimes i feel like i’m being plowed under

could you ever be true i think of you

and i wonder



i’m sick of love…i wish i’d never met you

i’m sick of love…i’m trying to forget you



just don’t know what to do

i’d give anything to be with you"
1997,Time out of Mind,Dirt Road Blues,"gon’ walk down that dirt road, ’til someone lets me ride

gon’ walk down that dirt road, ’til someone lets me ride

if i can’t find my baby, i’m gonna run away and hide



i been pacing around the room hoping maybe she’d come back

pacing ’round the room hoping maybe she’d come back

well, i been praying for salvation laying ’round in a one-room country shack



gon’ walk down that dirt road until my eyes begin to bleed

gon’ walk down that dirt road until my eyes begin to bleed

’til there’s nothing left to see, ’til the chains have been shattered and i’ve been freed



i been lookin’ at my shadow, i been watching the colors up above

lookin’ at my shadow, watching the colors up above

rolling through the rain and hail, looking for the sunny side of love



gon’ walk on down that dirt road ’til i’m right beside the sun

gon’ walk on down until i’m right beside the sun

i’m gonna have to put up a barrier to keep myself away from everyone"
1997,Time out of Mind,Cold Irons Bound,"i’m beginning to hear voices and there’s no one around

well, i’m all used up and the fields have turned brown

i went to church on sunday and she passed by

my love for her is taking such a long time to die



i’m waist deep, waist deep in the mist

it’s almost like, almost like i don’t exist

i’m twenty miles out of town in cold irons bound



the walls of pride are high and wide

can’t see over to the other side

it’s such a sad thing to see beauty decay

it’s sadder still to feel your heart torn away



one look at you and i’m out of control

like the universe has swallowed me whole

i’m twenty miles out of town in cold irons bound



there’s too many people, too many to recall

i thought some of ’m were friends of mine, i was wrong about ’m all

well, the road is rocky and the hillside’s mud

up over my head nothing but clouds of blood



i found my world, found my world in you

but your love just hasn’t proved true

i’m twenty miles out of town in cold irons bound

twenty miles out of town in cold irons bound



oh, the winds in chicago have torn me to shreds

reality has always had too many heads

some things last longer than you think they will

there are some kind of things you can never kill



it’s you and you only i been thinking about

but you can’t see in and it’s hard lookin’ out

i’m twenty miles out of town in cold irons bound



well the fat’s in the fire and the water’s in the tank

the whiskey’s in the jar and the money’s in the bank

i tried to love and protect you because i cared

i’m gonna remember forever the joy that we shared



looking at you and i’m on my bended knee

you have no idea what you do to me

i’m twenty miles out of town in cold irons bound

twenty miles out of town in cold irons bound"
2001,“Love and Theft”,Moonlight,"the seasons they are turnin’

and my sad heart is yearnin’

to hear again the songbird’s sweet melodious tone

meet me in the moonlight alone



the dusky light, the day is losing

orchids, poppies, black-eyed susan

the earth and sky that melts with flesh and bone

meet me in the moonlight alone



the air is thick and heavy

all along the levee

where the geese into the countryside have flown

meet me in the moonlight alone



well, i’m preachin’ peace and harmony

the blessings of tranquility

floating like a dream across the floor

i’ll take you ’cross the river dear

you’ve no need to linger here

draw the blinds, step outside the door



the clouds are turnin’ crimson

the leaves fall from the limbs an’

the branches cast their shadows over stone

meet me in the moonlight alone



the boulevards of cypress trees

the masquerades of birds and bees

the petals, pink and white, the wind has blown

meet me in the moonlight alone



the trailing moss and mystic glow

purple blossoms soft as snow

step up and drop the coin right into the slot

the fading light of sunset glowed

it’s crowded on the narrow road

who cares whether you forgive me or not



my pulse is runnin’ through my palm

the sharp hills are rising from

the yellow fields with twisted oaks that groan

meet me in the moonlight alone"
2001,“Love and Theft”,Bye and Bye,"bye and bye, i’m breathin’ a lover’s sigh

i’m sittin’ on my watch so i can be on time

i’m singin’ love’s praises with sugar-coated rhyme

bye and bye, on you i’m casting my eye



i’m paintin’ the town—swinging my partner around

i know who i can depend on, i know who to trust

i’m watchin’ the roads, i’m studying the dust

i’m paintin’ the town making my last go-round



well, i’m slippin’ and slidin’, walkin’ on briars

to get to the one that my heart desires



i’m rollin’ slow—i’m doing all i know

i’m tellin’ myself i found true happiness

that i’ve still got a dream that hasn’t been repossessed

i’m rollin’ slow, goin’ where the wild red roses grow



well the future for me is already a thing of the past

you were my first love and you will be my last



papa gone mad, mama, she’s feeling sad

i’ll establish my rule through civil war

bring it on up from the ocean’s floor

i’ll take you higher just so you can see the fire"
2001,“Love and Theft”,Tweedle Dee & Tweedle Dum,"tweedle-dee dum and tweedle-dee dee

they’re throwing knives into the tree

two big bags of dead man’s bones

got their noses to the grindstones

living in the land of nod

trustin’ their fate to the hands of god

they pass by so silently

tweedle-dee dum and tweedle-dee dee



well, they’re going to the country, they’re gonna retire

they’re taking a street car named desire

looking in the window at the pecan pie

lot of things they’d like they would never buy

neither one gonna turn and run

they’re making a voyage to the sun

“his master’s voice is calling me,”

says tweedle-dee dum to tweedle-dee dee



tweedle-dee dee and tweedle-dee dum

all that and more and then some

they walk among the stately trees

they know the secrets of the breeze t

weedle-dee dum says to tweedle-dee dee

“your presence is obnoxious to me.”

they’re like babies sittin’ on a woman’s knee

tweedle-dee dum and tweedle-dee dee



well, they’re living in a happy harmony

tweedle-dee dum and tweedle-dee dee

they’re one day older and a dollar short

they’ve got a parade permit and a police escort

tweedle-dee dee—he’s on his hands and his knees

saying, “throw me somethin’, mister, please.”

“what’s good for you is good for me,”

says tweedle-dee dum to tweedle-dee dee



well a childish dream is a deathless need

and a noble truth is a sacred creed

they’re lying low and they’re makin’ hay

they seem determined to go all the way

one is a lowdown, sorry old man

the other will stab you where you stand

“i’ve had too much of your company,”

says tweedle-dee dum to tweedle-dee dee"
2001,“Love and Theft”,"Lonesome Day Blues
","well, today has been a sad ol’ lonesome day

yeah, today has been a sad ol’ lonesome day

i’m just sittin’ here thinking

with my mind a million miles away



well, they’re doing the double shuffle, throwin’ sand on the floor

they’re doing the double shuffle, they’re throwin’ sand on the floor

when i left my long-time darlin’

she was standing in the door



well, my pa he died and left me, my brother got killed in the war

well, my pa he died and left me, my brother got killed in the war

my sister, she ran off and got married

never was heard of any more



samantha brown lived in my house for about four or five months

samantha brown lived in my house for about four or five months

don’t know how it looked to other people

i never slept with her even once



the road’s washed out—weather not fit for man or beast

yeah, the road’s washed out—weather not fit for man or beast

funny how the things you have the hardest time parting with

are the things you need the least



i’m forty miles from the mill—i’m droppin’ it into overdrive

i’m forty miles from the mill—i’m droppin’ it into overdrive

got my dial set on the radio

i’m telling myself i’m still alive



i see your lover-man comin’—comin’ ’cross the barren field

i see your lover-man comin’—comin’ ’cross the barren field

he’s not a gentleman at all—he’s rotten to the core

he’s a coward and he steals



well my captain he’s decorated—he’s well schooled and he’s skilled

my captain, he’s decorated—he’s well schooled and he’s skilled

he’s not sentimental—don’t bother him at all

how many of his pals have been killed



last night the wind was whisperin’, i was trying to make out what it was

last night the wind was whisperin’ somethin’—i was trying to make out what it was i tell myself something’s comin’

but it never does



i’m gonna spare the defeated—i’m gonna speak to the crowd

i’m gonna spare the defeated, boys, i’m going to speak to the crowd i am goin’ to teach peace to the conquered

i’m gonna tame the proud



well the leaves are rustlin’ in the wood—things are fallin’ off of the shelf leaves are rustlin’ in the wood—things are fallin’ off the shelf

you gonna need my help, sweetheart

you can’t make love all by yourself"
2001,“Love and Theft”,Floater (Too Much to Ask),"down over the window

comes the dazzling sunlit rays

through the back alleys—through the blinds

another one of them endless days

honey bees are buzzin’

leaves begin to stir

i’m in love with my second cousin

i tell myself i could be happy forever with her

i keep listenin’ for footsteps

but i ain’t hearing any

from the boat i fish for bullheads

i catch a lot, sometimes too many

a summer breeze is blowing

a squall is settin’ in

sometimes it’s just plain stupid

to get into any kind of wind



the old men ’round here, sometimes they get

on bad terms with the younger men

but old, young, age don’t carry weight

it doesn’t matter in the end

one of the boss’ hangers-on

comes to call at times you least expect

try to bully ya—strong-arm you—inspire you with fear

it has the opposite effect

there’s a new grove of trees on the outskirts of town

the old one is long gone

timber two-foot-six across

burns with the bark still on

they say times are hard, if you don’t believe it

you can just follow your nose

it don’t bother me—times are hard everywhere

we’ll just have to see how it goes



my old man, he’s like some feudal lord

got more lives than a cat

never seen him quarrel with my mother even once

things come alive or they fall flat

you can smell the pinewood burnin’

you can hear the school bell ring

gotta get up near the teacher if you can

if you wanna learn anything

romeo, he said to juliet, “you got a poor complexion

it doesn’t give your appearance a very youthful touch”

juliet said back to romeo, “why don’t you just shove off

if it bothers you so much”

they all got out of here any way they could

the cold rain can give you the shivers

they went down the ohio, the cumberland, the tennessee

all the rest of them rebel rivers



if you ever try to interfere with me or cross my path again

you do so at the peril of your own life

i’m not quite as cool or forgiving as i sound

i’ve seen enough heartaches and strife

my grandfather was a duck trapper

he could do it with just dragnets and ropes

my grandmother could sew new dresses out of old cloth

i don’t know if they had any dreams or hopes

i had ’em once though, i suppose, to go along

with all the ring dancin’ christmas carols on all of the christmas eves

i left all my dreams and hopes

buried under tobacco leaves

it’s not always easy kicking someone out

gotta wait a while—it can be an unpleasant task

sometimes somebody wants you to give something up

and tears or not, it’s too much to ask"
2001,“Love and Theft”,High Water (For Charley Patton),"high water risin’—risin’ night and day

all the gold and silver are being stolen away

big joe turner lookin’ east and west

from the dark room of his mind

he made it to kansas city

twelfth street and vine

nothing standing there

high water everywhere



high water risin’, the shacks are slidin’ down

folks lose their possessions—folks are leaving town

bertha mason shook it—broke it

then she hung it on a wall

says, “you’re dancin’ with whom they tell you to

or you don’t dance at all”

it’s tough out there

high water everywhere



i got a cravin’ love for blazing speed

got a hopped up mustang ford

jump into the wagon, love, throw your panties overboard

i can write you poems, make a strong man lose his mind

i’m no pig without a wig

i hope you treat me kind

things are breakin’ up out there

high water everywhere



high water risin’, six inches ’bove my head

coffins droppin’ in the street

like balloons made out of lead

water pourin’ into vicksburg, don’t know what i’m goin' to do

“don’t reach out for me,” she said

“can’t you see i’m drownin’ too”

it’s rough out there

high water everywhere



well, george lewis told the englishman, the italian and the jew

“don't open up your mind, boys

to every conceivable point of view”

they got charles darwin trapped out there on highway five

judge says to the high sheriff,

“i want him dead or alive

either one, i don’t care”

high water everywhere



the cuckoo is a pretty bird, she warbles as she flies

i’m preachin’ the word of god

i’m puttin’ out your eyes

i asked fat nancy for something to eat, she said, “take it off the shelf—

as great as you are, man

you’ll never be greater than yourself”

i told her i didn’t really care

high water everywhere



i’m gettin’ up in the morning—i believe i’ll dust my broom

keeping away from the women

i’m givin’ ’em lots of room

thunder rolling over clarkesdale, everything is looking blue

i just can’t be happy, love

unless you’re happy too

it’s bad out there

high water everywhere"
2001,“Love and Theft”,"Po’ Boy
","man comes to the door—i say, “for whom are you looking”

he says, “your wife.” i say, “she’s busy in the kitchen cookin’”

poor boy, where you been

i already tol’ you—won’t tell you again



i say, “how much you want for that” i go into the store

the man says, “three dollars.” “all right,” i say, “will you take four”

poor boy, never say die

things will be all right by and by



been workin’ on the mainline—workin’ like the devil

the game is the same—it’s just on a different level

poor boy, dressed in black

police at your back



poor boy in a red hot town

out beyond the twinklin’ stars

ridin’ first-class trains—making the rounds

tryin’ to keep from fallin’ between the cars



othello told desdemona, “i’m cold, cover me with a blanket

by the way, what happened to that poison wine” she says, “i gave it to you, you drank it”

poor boy, layin’ ’em straight

pickin’ up the cherries fallin’ off the plate



time and love has branded me with its claws

had to go to florida, dodgin’ them georgia laws

poor boy, sitting in the gloom

calls down to room service, says, ""send up a room.""



my mother was a daughter of a wealthy farmer

my father was a traveling salesman, i never met him

when my mother died, my uncle took me in—he ran a funeral parlor

he did a lot of nice things for me and i won’t forget him



all i know is that i’m thrilled by your kiss

i don’t know any more than this

poor boy, pickin’ up sticks

build ya a house out of mortar and bricks



knockin’ on the door, i say, “who is it and where are you from”

man says, “freddy” i say, “freddy who” he says, “freddy or not here i come”

poor boy ’neath the stars that shine

washin’ them dishes, feedin’ them swine"
2001,“Love and Theft”,Cry a While,"well, i had to go down and see a guy named mr. goldsmith

a nasty, dirty, double-crossin’, backstabbin’ phony i didn’t wanna have to be dealin’ with

but i did it for you and all you gave me was a smile

well, i cried for you—now it’s your turn to cry awhile



i don’t carry dead weight—i’m no flash in the pan

all right, i’ll set you straight, can’t you see i’m a union man

i’m lettin’ the cat out of the cage, i’m keeping a low profile

well, i cried for you—now it’s your turn, you can cry awhile



feel like a fighting rooster—feel better than i ever felt

but the pennsylvania line’s in an awful mess and the denver road is about to melt

i went to the church house, every day i go an extra mile

well, i cried for you—now it’s your turn, you can cry awhile



last night ’cross the alley there was a pounding on the walls

it must have been don pasqualli makin’ a two a.m. booty call

to break a trusting heart like mine was just your style

well, i cried for you—now it’s your turn to cry awhile



i’m on the fringes of the night, fighting back tears that i can’t control

some people they ain’t human, they got no heart or soul

well, i’m crying to the lord—i’m tryin’ to be meek and mild

yes, i cried for you—now it’s your turn, you can cry awhile



well, there’s preachers in the pulpits and babies in the cribs

i’m longin’ for that sweet fat that sticks to your ribs

i’m gonna buy me a barrel of whiskey—i’ll die before i turn senile

well, i cried for you—now it’s your turn, you can cry awhile



well, you bet on a horse and it ran on the wrong way

i always said you’d be sorry and today could be the day

i might need a good lawyer, could be your funeral, my trial

well, i cried for you—now it’s your turn, you can cry awhile"
2001,“Love and Theft”,Sugar Baby,"i got my back to the sun ’cause the light is too intense

i can see what everybody in the world is up against

you can’t turn back—you can’t come back, sometimes we push too far

one day you’ll open up your eyes and you’ll see where we are



sugar baby get on down the road

you ain’t got no brains, no how

you went years without me

might as well keep going now



some of these bootleggers, they make pretty good stuff

plenty of places to hide things here if you wanna hide ’em bad enough

i’m staying with aunt sally, but you know, she’s not really my aunt

some of these memories you can learn to live with and some of them you can’t



sugar baby get on down the line

you ain’t got no brains, no how

you went years without me

you might as well keep going now



the ladies down in darktown, they’re doing the darktown strut

you always got to be prepared but you never know for what

there ain’t no limit to the amount of trouble women bring

love is pleasing, love is teasing, love’s not an evil thing



sugar baby, get on down the road

you ain’t got no brains, no how

you went years without me

you might as well keep going now



every moment of existence seems like some dirty trick

happiness can come suddenly and leave just as quick

any minute of the day the bubble could burst

try to make things better for someone, sometimes you just end up making it a thousand times worse



sugar baby, get on down the road

you ain’t got no brains, no how

you went years without me

might as well keep going now



your charms have broken many a heart and mine is surely one

you got a way of tearing a world apart, love, see what you done

just as sure as we’re living, just as sure as you’re born

look up, look up—seek your maker—’fore gabriel blows his horn



sugar baby, get on down the line

you ain’t got no sense, no how

you went years without me

might as well keep going now"
2001,“Love and Theft”,Summer Days,"summer days, summer nights are gone

summer days and the summer nights are gone

i know a place where there’s still somethin’ going on



i got a house on a hill, i got hogs all out in the mud

i got a house on a hill, i got hogs out lying in the mud

got a long haired woman, she got royal indian blood



everybody get ready—lift up your glasses and sing

everybody get ready to lift up your glasses and sing

well, i’m standin’ on the table, i’m proposing a toast to the king



well, i’m drivin’ in the flats in a cadillac car

the girls all say, “you’re a worn out star”

my pockets are loaded and i’m spending every dime

how can you say you love someone else when you know it’s me all the time



well, the fog’s so thick you can’t spy the land

the fog is so thick that you can’t even spy the land

what good are you anyway, if you can’t stand up to some old businessman



wedding bells ringin’, the choir is beginning to sing

yes, the wedding bells are ringing and the choir is beginning to sing

what looks good in the day, at night is another thing



she’s looking into my eyes, she’s holding my hand

she’s looking into my eyes, she’s holding my hand

she says, “you can’t repeat the past.” i say, “you can’t what do you mean,

you can’t of course you can.”



where do you come from where do you go

sorry that’s nothin’ you would need to know

well, my back has been to the wall for so long, it seems like it’s stuck

why don’t you break my heart one more time just for good luck



i got eight carburetors, boys, i’m using ’em all

well, i got eight carburetors and boys, i’m using ’em all

i’m short on gas, my motor’s starting to stall



my dogs are barking, there must be someone around

my dogs are barking, there must be someone around

i got my hammer ringin’, pretty baby, but the nails ain’t goin’ down



you got something to say, speak or hold your peace

well, you got something to say, speak now or hold your peace

if it’s information you want you can go get it from the police



politician got on his jogging shoes

he must be running for office, got no time to lose

you been suckin’ the blood out of the genius of generosity

you been rolling your eyes—you been teasing me



standing by god’s river, my soul is beginnin’ to shake

standing by god’s river, my soul is beginnin’ to shake

i’m countin’ on you love, to give me a break



well, i’m leaving in the morning as soon as the dark clouds lift

yes, i’m leaving in the morning just as soon as the dark clouds lift

gonna break in the roof—set fire to the place as a parting gift



summer days, summer nights are gone

summer days, summer nights are gone

i know a place where there’s still somethin’ going on"
2001,“Love and Theft”,Mississippi,"every step of the way we walk the line

your days are numbered, so are mine

time is pilin’ up, we struggle and we scrape

we’re all boxed in, nowhere to escape

city’s just a jungle, more games to play

trapped in the heart of it, trying to get away

i was raised in the country, i been workin’ in the town

i been in trouble ever since i set my suitcase down

got nothing for you, i had nothing before

don’t even have anything for myself anymore

sky full of fire, pain pourin’ down

nothing you can sell me, i’ll see you around

all my powers of expression and thoughts so sublime

could never do you justice in reason or rhyme

only one thing i did wrong

stayed in mississippi a day too long



well, the devil’s in the alley, mule’s in the stall

say anything you wanna, i have heard it all

i was thinkin’ about the things that rosie said

i was dreaming i was sleeping in rosie’s bed

walking through the leaves, falling from the trees

feeling like a stranger nobody sees

so many things that we never will undo

i know you’re sorry, i’m sorry too

some people will offer you their hand and some won’t

last night i knew you, tonight i don’t

i need somethin’ strong to distract my mind

i’m gonna look at you ‘til my eyes go blind

well i got here following the southern star

i crossed that river just to be where you are

only one thing i did wrong

stayed in mississippi a day too long



well my ship’s been split to splinters and it’s sinking fast

i’m drownin’ in the poison, got no future, got no past

but my heart is not weary, it’s light and it’s free

i’ve got nothin’ but affection for all those who’ve sailed with me

everybody movin’ if they ain’t already there

everybody got to move somewhere

stick with me baby, stick with me anyhow

things should start to get interesting right about now

my clothes are wet, tight on my skin

not as tight as the corner that i painted myself in

i know that fortune is waitin’ to be kind

so give me your hand and say you’ll be mine

well, the emptiness is endless, cold as the clay

you can always come back, but you can’t come back all the way

only one thing i did wrong

stayed in mississippi a day too long"
2001,“Love and Theft”,Honest with Me,"well, i’m stranded in the city that never sleeps

some of these women they just give me the creeps

i’m avoidin’ the southside the best i can

these memories i got, they can strangle a man

well, i came ashore in the dead of the night

lot of things can get in the way when you’re tryin’ to do what’s right

you don’t understand it—my feelings for you

you’d be honest with me if only you knew



i’m not sorry for nothin’ i’ve done

i’m glad i fought—i only wish we’d won

the siamese twins are comin’ to town

people can’t wait—they’re gathered around

when i left my home the sky split open wide

i never wanted to go back there—i’d rather have died

you don’t understand it—my feelings for you

you’d be honest with me if only you knew



my woman got a face like a teddy bear

she’s tossin’ a baseball bat in the air

the meat is so tough you can’t cut it with a sword

i’m crashin’ my car, trunk first into the boards

you say my eyes are pretty and my smile is nice

well, i’ll sell it to ya at a reduced price

you don’t understand it—my feelings for you

you’d be honest with me if only you knew



some things are too terrible to be true

i won’t come here no more if it bothers you

the southern pacific leaving at nine forty-five

i’m having a hard time believin’ some people were ever alive

i’m stark naked, but i don’t care

i’m going off into the woods, i’m huntin’ bare

you don’t understand it—my feelings for you

well, you’d be honest with me if only you knew



i’m here to create the new imperial empire

i’m going to do whatever circumstances require

i care so much for you—didn’t think that i could

i can’t tell my heart that you’re no good

well, my parents they warned me not to waste my years

and i still got their advice oozing out of my ears

you don’t understand it—my feelings for you

well, you’d be honest with me if only you knew"
2006,Modern Times,Ain’t Talkin’,"as i walked out tonight in the mystic garden

the wounded flowers were dangling from the vines

i was passing by yon cool and crystal fountain

someone hit me from behind



ain’t talkin’, just walkin’

through this weary world of woe

heart burnin’, still yearnin’

no one on earth would ever know



they say prayer has the power to help

so pray for me mother

in the human heart an evil spirit can dwell

i’m trying to love my neighbor and do good unto others

but oh, mother, things ain’t going well



ain’t talkin’, just walkin’

i’ll burn that bridge before you can cross

heart burnin’, still yearnin’

they’ll be no mercy for you once you’ve lost



now i’m all worn down by weepin’

my eyes are filled with tears, my lips are dry

if i catch my opponents ever sleepin’

i’ll just slaughter them where they lie



ain’t talkin’, just walkin’

through a world mysterious and vague

heart burnin’, still yearnin’

walking through the cities of the plague



the whole world is filled with speculation

the whole wide world which people say is round

they will tear your mind away from contemplation

they will jump on your misfortune when you’re down



ain’t talkin’, just walkin’

eatin’ hog-eyed grease in hog-eyed town

heart burnin’, still yearnin’

someday you’ll be glad to have me around



they will crush you with wealth and power

every waking moment you could crack

i’ll make the most of one last extra hour

i’ll avenge my father’s death then i’ll step back



ain’t talkin’, just walkin’

hand me down my walkin’ cane

heart burnin’, still yearnin’

got to get you out of my miserable brain



it’s bright in the heavens and the wheels are flying

fame and honor never seem to fade

the fire’s gone out but the light is never dying

who says i can’t get heavenly aid



ain’t talkin’, just walkin’

carrying a dead man’s shield

heart burnin’, still yearnin’

walkin’ with a toothache in my heel



the suffering is unending

every nook and cranny has its tears

i’m not playing, i’m not pretending

i’m not nursing any superfluous fears



ain’t talkin’, just walkin’

walkin’ ever since the other night

heart burnin’, still yearnin’

walkin’ ’til i’m clean out of sight



as i walked out in the mystic garden

on a hot summer day, hot summer lawn

excuse me, ma’am, i beg your pardon

there’s no one here, the gardener is gone



ain’t talkin’, just walkin’

up the road around the bend

heart burnin’, still yearnin’

in the last outback, at the world’s end"
2006,Modern Times,The Levee’s Gonna Break,"if it keep on rainin' the levee gonna break

if it keep on rainin' the levee gonna break

everybody saying this is a day only the lord could make



well i worked on the levee mama, both night and day

well i worked on the levee mama, both night and day

i got to the river and i threw my clothes away



i paid my time and now i'm as good as new

i paid my time and now i'm as good as new

they can't take me back, not unless i want them to



if it keep on rainin' the levee gonna break

if it keep on rainin' the levee gonna break

some of these people gonna strip you of all they can take



i can't stop here, i ain't ready to unload

i can't stop here, i ain't ready to unload

riches and salvation can be waiting behind the next bend in the road



i picked you up from the gutter and this is the thanks i get

i picked you up from the gutter and this is the thanks i get

you say you want me to quit ya, i told you no, not just yet



i look in your eyes, i see nobody else but me

i look in your eyes, i see nobody other than me

i see all that i am and all i hope to be



if it keep on rainin' the levee gonna break

if it keep on rainin' the levee gonna break

some of these people don't know which road to take



when i'm with you i forget i was ever blue

when i'm with you i forget i was ever blue

without you there's no meaning in anything i do



some people on the road carrying everything that they own

some people on the road carrying everything that they own

some people got barely enough skin to cover their bones



put on your cat clothes, mama, put on your evening dress

put on your cat clothes, mama, put on your evening dress

a few more years of hard work then there'll be a thousand years of happiness



if it keep on rainin' the levee gonna break

if it keep on rainin' the levee gonna break

i tried to get you to love me, but i won't repeat that mistake



if it keep on rainin' the levee gonna break

if it keep on rainin' the levee gonna break

plenty of cheap stuff out there still around to take



i woke up this morning, butter and eggs in my bed

i woke up this morning, butter and eggs in my bed

i ain't got enough room to even raise my head



come back, baby, say we never more will part

come back, baby, say we never more will part

don't be a stranger without a brain or heart



if it keep on rainin' the levee gonna break

if it keep on rainin' the levee gonna break

some people still sleepin', some people are wide awake"
2006,Modern Times,Thunder on the Mountain,"thunder on the mountain, fires on the moon

there's a ruckus in the alley and the sun will be here soon

today's the day, gonna grab my trombone and blow

well, there's hot stuff here and it's everywhere i go

i was thinkin' 'bout alicia keys, couldn't keep from crying

when she was born in hell's kitchen, i was living down the line

i'm wondering where in the world alicia keys could be

i been looking for her even clear through tennessee

feel like my soul is beginning to expand

look into my heart and you will sort of understand

you brought me here, now you're trying to run me away

the writing's on the wall, come read it, come see what it say



thunder on the mountain, rolling like a drum

gonna sleep over there, that's where the music coming from

i don't need any guide, i already know the way

remember this, i'm your servant both night and day

the pistols are poppin' and the power is down

i'd like to try somethin' but i'm so far from town

the sun keeps shinin' and the north wind keeps picking up speed

gonna forget about myself for a while, gonna go out and see what others need

i've been sitting down studying the art of love

i think it will fit me like a glove

i want some real good woman to do just what i say

everybody got to wonder what's the matter with this cruel world today



thunder on the mountain rolling to the ground

gonna get up in the morning walk the hard road down

some sweet day i'll stand beside my king

i wouldn't betray your love or any other thing

gonna raise me an army, some tough sons of bitches

i'll recruit my army from the orphanages

i been to st. herman's church and i've said my religious vows

i've sucked the milk out of a thousand cows

i got the porkchops, she got the pie

she ain't no angel and neither am i

shame on your greed, shame on your wicked schemes

i'll say this, i don't give a damn about your dreams



thunder on the mountain heavy as can be

mean old twister bearing down on me

all the ladies of washington scrambling to get out of town

looks like something bad gonna happen, better roll your airplane down

everybody's going and i want to go too

don't wanna take a chance with somebody new

i did all i could and i did it right there and then

i've already confessed – no need to confess again

gonna make a lot of money, gonna go up north

i'll plant and i'll harvest what the earth brings forth

the hammer's on the table, the pitchfork's on the shelf

for the love of god, you ought to take pity on yourself"
2006,Modern Times,Spirit on the Water,"spirit on the water

darkness on the face of the deep

i keep thinking about you baby

i can’t hardly sleep

i’m traveling by land

traveling through the dawn of day

you’re always on my mind

i can’t stay away

i’d forgotten about you

then you turned up again

i always knew

that we were meant to be more than friends

when you are near

it’s just as plain as it can be

i’m wild about you, gal

you ought to be a fool about me



can’t explain

the sources of this hidden pain

you burned your way into my heart

you got the key to my brain

i’ve been trampling through mud

praying to the powers above

i’m sweating blood

you got a face that begs for love

life without you

doesn’t mean a thing to me

if i can’t have you

i’ll throw my love into the deep blue sea

sometimes i wonder

why you can’t treat me right

you do good all day

then you do wrong all night



when you’re with me

i’m a thousand times happier than i could ever say

what does it matter

what price i pay

they brag about your sugar

brag about it all over town

put some sugar in my bowl

i feel like laying down

i’m pale as a ghost

holding a blossom on a stem

you ever seen a ghost no

but you have heard of them

i hear your name

ringing up and down the line

i’m saying it plain

these ties are strong enough to bind



i been in a brawl

now i’m feeling the wall

i’m going away baby

i won’t be back ’til fall

high on the hill

you can carry all my thoughts with you

you’ve numbed my will

this love could tear me in two

i wanna be with you in paradise

and it seems so unfair

i can’t go back to paradise no more

i killed a man back there

you think i’m over the hill

you think i’m past my prime

let me see what you got

we can have a whoppin’ good time"
2006,Modern Times,"Rollin’ and Tumblin’
","i rolled and i tumbled, i cried the whole night long

i rolled and i tumbled, i cried the whole night long

woke up this mornin', i must have bet my money wrong



i got troubles so hard, i can't stand the strain

i got troubles so hard, i just can't stand the strain

some young lazy slut has charmed away my brains



the landscape is glowin', gleamin' in the golden light of day

the landscape is glowin', gleamin' in the gold light of day

i ain't holding nothin' back now, i ain't standin' in anybody's way



i'm flat-out spent, this woman been drivin' me to tears

i'm flat-out spent, this woman she been drivin' me to tears

this woman so crazy, i swear i ain't gonna touch another one for years



well, the warm weather is comin' and the buds are on the vine

the warm weather's comin', the buds are on the vine

ain't nothing so depressing as trying to satisfy this woman of mine



i got up this mornin', saw the rising sun return

well, i got up this mornin', seen the rising sun return

sooner or later you too shall burn



the night's filled with shadows, the years are filled with early doom

the night's filled with shadows, the years are filled with early doom

i've been conjuring up all these long dead souls from their crumblin' tombs



let's forgive each other darlin', let's go down to the greenwood glen

let's forgive each other darlin', let's go down to the greenwood glen

let's put our heads together, let's put old matters to an end



now i rolled and i tumbled and i cried the whole night long

ah, i rolled and i tumbled, i cried the whole night long

i woke up this morning, i think i must be travelin' wrong"
2006,Modern Times,When the Deal Goes Down,"in the still of the night, in the world's ancient light

where wisdom grows up in strife

my bewildering brain, toils in vain

through the darkness on the pathways of life

each invisible prayer is like a cloud in the air

tomorrow keeps turning around

we live and we die, we know not why

but i'll be with you when the deal goes down



we eat and we drink, we feel and we think

far down the street we stray

i laugh and i cry and i'm haunted by

things i never meant nor wished to say

the midnight rain follows the train

we all wear the same thorny crown

soul to soul, our shadows roll

and i'll be with you when the deal goes down



the moon gives light and shines by night

i scarcely feel the glow

we learn to live and then we forgive

o'er the road we're bound to go

more frailer than the flowers, these precious hours

that keep us so tightly bound

you come to my eyes like a vision from the skies

and i'll be with you when the deal goes down



i picked up a rose and it poked through my clothes

i followed the winding stream

i heard a deafening noise, i felt transient joys

i know they're not what they seem

in this earthly domain, full of disappointment and pain

you'll never see me frown

i owe my heart to you, and that's sayin' it true

and i'll be with you when the deal goes down"
